id,inning,over_no,average_runs_per_over
23,2,13,0.8333
23,2,14,1.5000
23,2,15,2.1667
23,2,16,1.5000
23,2,17,2.6667
23,2,18,2.0000
23,2,19,2.5000
24,1,1,1.1429
24,1,2,1.7143
24,1,3,1.2857
24,1,4,1.1429
24,1,5,1.6667
24,1,6,0.1667
24,1,7,1.3333
24,1,8,0.6667
24,1,9,0.1667
24,1,10,1.0000
24,1,11,1.0000
24,1,12,1.3333
24,1,13,0.2857
24,1,14,1.6667
24,1,15,1.3333
24,1,16,1.3333
24,1,17,1.6667
24,1,18,0.5000
24,1,19,1.2857
24,1,20,1.6667
24,2,1,1.5000
24,2,2,0.8333
24,2,3,0.8333
24,2,4,0.2857
24,2,5,0.0000
24,2,6,0.2857
24,2,7,0.8333
24,2,8,1.0000
24,2,9,1.4286
24,2,10,2.1667
24,2,11,1.6667
24,2,12,0.3333
24,2,13,1.2857
24,2,14,0.8333
24,2,15,1.3333
24,2,16,1.0000
24,2,17,0.6667
24,2,18,2.0000
24,2,19,0.8333
24,2,20,1.4286
25,1,1,1.1667
25,1,2,0.6250
25,1,3,1.3333
25,1,4,1.3333
25,1,5,1.0000
25,1,6,1.8333
25,1,7,1.3333
25,1,8,0.3333
25,1,9,0.3333
25,1,10,1.3333
25,1,11,0.8333
25,1,12,2.1667
25,1,13,0.3333
25,1,14,1.7143
25,1,15,2.2857
25,1,16,1.5000
25,1,17,2.0000
25,1,18,2.0000
25,1,19,2.5000
25,1,20,2.5000
25,2,1,0.1667
25,2,2,0.6667
25,2,3,1.6667
25,2,4,1.5000
25,2,5,2.1667
25,2,6,3.0000
25,2,7,0.5000
25,2,8,0.5000
25,2,9,1.1667
25,2,10,2.5000
25,2,11,0.6667
25,2,12,0.6667
25,2,13,1.1667
25,2,14,0.5000
25,2,15,2.3333
25,2,16,1.0000
25,2,17,1.5000
25,2,18,2.8333
25,2,19,2.7143
25,2,20,2.1667
26,1,1,1.8333
26,1,2,0.8333
26,1,3,1.0000
26,1,4,0.5000
26,1,5,1.8333
26,1,6,2.3333
26,1,7,0.5000
26,1,8,2.3333
26,1,9,2.1667
26,1,10,1.3333
26,1,11,0.5000
26,1,12,2.1667
26,1,13,1.6667
26,1,14,2.3333
26,1,15,1.1667
26,1,16,1.3333
26,1,17,1.2857
26,1,18,1.0000
26,1,19,3.0000
26,1,20,2.0000
26,2,1,1.0000
26,2,2,1.3333
26,2,3,1.8333
26,2,4,1.8333
26,2,5,1.1667
26,2,6,1.1667
26,2,7,1.3333
26,2,8,0.8333
26,2,9,1.1667
26,2,10,1.7143
